vid,nid,delta,field_event_start_date_value,field_event_start_date_value2,field_event_start_date_rrule
19455,10825,3,2014-12-23T01:30:00,2014-12-23T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19455,10825,4,2014-12-24T01:30:00,2014-12-24T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19458,10828,0,2015-02-21T18:00:00,2015-02-21T23:00:00,NULL
19460,10713,0,2014-11-28T20:00:00,2014-11-30T20:00:00,NULL
19483,10842,0,2014-12-13T23:00:00,2014-12-14T23:00:00,NULL
19484,10842,0,2014-12-13T23:00:00,2014-12-14T23:00:00,NULL
19520,10825,0,2014-12-20T01:30:00,2014-12-20T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19520,10825,1,2014-12-21T01:30:00,2014-12-21T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19520,10825,2,2014-12-22T01:30:00,2014-12-22T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19520,10825,3,2014-12-23T01:30:00,2014-12-23T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19520,10825,4,2014-12-24T01:30:00,2014-12-24T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19521,10825,0,2014-12-20T01:30:00,2014-12-20T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19521,10825,1,2014-12-21T01:30:00,2014-12-21T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19521,10825,2,2014-12-22T01:30:00,2014-12-22T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19521,10825,3,2014-12-23T01:30:00,2014-12-23T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19521,10825,4,2014-12-24T01:30:00,2014-12-24T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19522,10825,0,2014-12-20T01:30:00,2014-12-20T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19522,10825,1,2014-12-21T01:30:00,2014-12-21T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19522,10825,2,2014-12-22T01:30:00,2014-12-22T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19522,10825,3,2014-12-23T01:30:00,2014-12-23T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19522,10825,4,2014-12-24T01:30:00,2014-12-24T04:00:00,RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141224T075959Z;WKST=SU
19571,10906,0,2015-01-07T02:30:00,2015-01-07T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,1,2015-01-14T02:30:00,2015-01-14T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,2,2015-01-21T02:30:00,2015-01-21T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,3,2015-01-28T02:30:00,2015-01-28T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,4,2015-02-04T02:30:00,2015-02-04T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,5,2015-02-11T02:30:00,2015-02-11T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,6,2015-02-18T02:30:00,2015-02-18T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,7,2015-02-25T02:30:00,2015-02-25T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,8,2015-03-04T02:30:00,2015-03-04T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,9,2015-03-11T01:30:00,2015-03-11T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,10,2015-03-18T01:30:00,2015-03-18T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,11,2015-03-25T01:30:00,2015-03-25T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,12,2015-04-01T01:30:00,2015-04-01T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,13,2015-04-08T01:30:00,2015-04-08T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,14,2015-04-15T01:30:00,2015-04-15T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,15,2015-04-22T01:30:00,2015-04-22T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,16,2015-04-29T01:30:00,2015-04-29T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,17,2015-05-06T01:30:00,2015-05-06T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,18,2015-05-13T01:30:00,2015-05-13T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,19,2015-05-20T01:30:00,2015-05-20T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,20,2015-05-27T01:30:00,2015-05-27T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,21,2015-06-03T01:30:00,2015-06-03T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,22,2015-06-10T01:30:00,2015-06-10T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,23,2015-06-17T01:30:00,2015-06-17T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,24,2015-06-24T01:30:00,2015-06-24T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,25,2015-07-01T01:30:00,2015-07-01T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,26,2015-07-08T01:30:00,2015-07-08T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,27,2015-07-15T01:30:00,2015-07-15T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,28,2015-07-22T01:30:00,2015-07-22T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,29,2015-07-29T01:30:00,2015-07-29T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,30,2015-08-05T01:30:00,2015-08-05T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,31,2015-08-12T01:30:00,2015-08-12T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,32,2015-08-19T01:30:00,2015-08-19T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,33,2015-08-26T01:30:00,2015-08-26T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,34,2015-09-02T01:30:00,2015-09-02T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,35,2015-09-09T01:30:00,2015-09-09T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,36,2015-09-16T01:30:00,2015-09-16T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,37,2015-09-23T01:30:00,2015-09-23T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,38,2015-09-30T01:30:00,2015-09-30T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,39,2015-10-07T01:30:00,2015-10-07T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,40,2015-10-14T01:30:00,2015-10-14T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,41,2015-10-21T01:30:00,2015-10-21T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,42,2015-10-28T01:30:00,2015-10-28T03:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,43,2015-11-04T02:30:00,2015-11-04T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,44,2015-11-11T02:30:00,2015-11-11T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,45,2015-11-18T02:30:00,2015-11-18T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,46,2015-11-25T02:30:00,2015-11-25T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,47,2015-12-02T02:30:00,2015-12-02T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,48,2015-12-09T02:30:00,2015-12-09T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,49,2015-12-16T02:30:00,2015-12-16T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19571,10906,50,2015-12-23T02:30:00,2015-12-23T04:30:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151223T075959Z;WKST=SU
19572,10907,0,2015-02-14T03:00:00,2015-02-14T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,1,2015-03-14T02:00:00,2015-03-14T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,2,2015-04-11T02:00:00,2015-04-11T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,3,2015-05-09T02:00:00,2015-05-09T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,4,2015-07-11T02:00:00,2015-07-11T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,5,2015-08-15T02:00:00,2015-08-15T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,6,2015-09-12T02:00:00,2015-09-12T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,7,2015-10-10T02:00:00,2015-10-10T06:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,8,2015-11-14T03:00:00,2015-11-14T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19572,10907,9,2015-12-12T03:00:00,2015-12-12T07:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+2FR;UNTIL=20151212T075959Z;WKST=SU
EXDATE:20150612T070000Z"
19573,10906,0,2015-01-07T02:30:00,2015-01-07T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
19573,10906,1,2015-01-14T02:30:00,2015-01-14T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
19573,10906,2,2015-01-21T02:30:00,2015-01-21T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
19573,10906,3,2015-01-28T02:30:00,2015-01-28T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
19573,10906,4,2015-02-04T02:30:00,2015-02-04T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
19573,10906,5,2015-02-11T02:30:00,2015-02-11T04:30:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=TU;UNTIL=20151223T075959Z;WKST=SU
EXDATE:20150602T070000Z"
