nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate
259,13830,listing,,Polk County Historic Courthouse,4,1,1236369289,1363124033,0,0,0,0,0,0
260,375,listing,,Polk County Historical Society & Museum,4,1,1236369348,1236372603,0,0,0,0,0,0
261,374,listing,,Ritner Creek Covered Bridge,4,1,1236369409,1236372583,0,0,0,0,0,0
262,21662,listing,,Dallas Aquatic Center,4,1,1236369466,1445031452,0,0,0,0,0,0
265,10442,listing,,Historic Downtown Salem,4,1,1236377222,1324940901,0,0,0,0,0,0
266,15009,listing,,Keizer Heritage Museum & Center,4,0,1236378727,1377110188,0,0,0,0,0,0
268,19565,listing,,Willamette Heritage Center,4,1,1236378850,1419035670,0,0,0,0,0,0
270,15165,listing,,Oregon Electric Railway Museum,4,0,1236378979,1378399278,0,0,0,0,0,0
271,16592,listing,,Oregon State Capitol - Visitor Services ,4,1,1236379628,1391105460,0,0,0,0,0,0
279,15008,listing,,Jensen Arctic Museum,4,0,1236639809,1377110154,0,0,0,0,0,0
280,520,listing,,Dallas City Park,4,1,1236640626,1236640626,0,0,0,0,0,0
281,521,listing,,Riverview Park,4,1,1236640693,1236640693,0,0,0,0,0,0
282,21649,listing,,Silver Creek Reservoir,4,1,1236643603,1445022016,0,0,0,0,0,0
285,18807,listing,,Gilbert House Children's Museum,4,1,1236644206,1410451307,0,0,0,0,0,0
287,12188,listing,,Enchanted Forest,4,1,1236644439,1342048561,0,0,0,0,0,0
288,8852,listing,,Salem's Riverfront Carousel,4,1,1236644478,1305862049,0,0,0,0,0,0
290,12157,listing,,Willamette Mission State Park,4,1,1236644841,1341523246,0,0,0,0,0,0
291,6396,listing,,Cubanisimo Vineyards,4,1,1236707596,1277147308,0,0,0,0,0,0
293,21234,listing,,Eola Hills Wine Cellars,4,0,1236707701,1438202160,0,0,0,0,0,0
295,16327,listing,,Honeywood Winery,4,1,1236707805,1389380854,0,0,0,0,0,0
297,12292,listing,,Orchard Heights Winery,4,1,1236707986,1342824433,0,0,0,0,0,0
298,12294,listing,,Orchard Heights Winery,4,1,1236708370,1342824488,0,0,0,0,0,0
303,12072,listing,,Witness Tree Vineyard,4,1,1236708589,1340560434,0,0,0,0,0,0
308,7983,listing,,Spirit Mountain Casino's Cedar Plank Buffet,4,1,1236709888,1295462223,0,0,0,0,0,0
309,21236,listing,,Eola Hills Wine Cellars,4,0,1236709974,1438202730,0,0,0,0,0,0
311,14928,listing,,Rosie's Mountain Coffee House,4,1,1236710803,1376005192,0,0,0,0,0,0
314,21123,listing,,Lullu's tutto cucina,4,1,1236711203,1436389081,0,0,0,0,0,0
317,17911,listing,,Black Rock Mountain Bike Association (BRMBA),4,1,1236720193,1400802009,0,0,0,0,0,0
320,17711,listing,,Ram Restaurant & Brewery,4,1,1236720569,1398982552,0,0,0,0,0,0
322,16674,listing,,Willamette Valley Grill,4,1,1236720637,1391208170,0,0,0,0,0,0
324,15547,listing,,Bentley's Grill,4,0,1236721116,1380301947,0,0,0,0,0,0
326,3663,listing,,Spirit Mountain Casino's Legends Restaurant,4,1,1236721924,1256760917,0,0,0,0,0,0
327,8516,listing,,Prudence Uncorked,4,1,1236722509,1302216786,0,0,0,0,0,0
329,7870,listing,,Giovanni's Mountain Pizza,4,1,1236722680,1293741181,0,0,0,0,0,0
330,13243,listing,,Best Little Roadhouse,4,1,1236722811,1356129794,0,0,0,0,0,0
331,4212,listing,,Today's Hair Salon & Day Spa,4,1,1236791378,1262993636,0,0,0,0,0,0
336,21692,listing,,Volcanoes Stadium,4,1,1236792265,1445358168,0,0,0,0,0,0
339,20454,listing,,Consigning Women,4,1,1236793787,1430346857,0,0,0,0,0,0
340,20984,listing,,My Sisters' Closet,4,1,1236793815,1435084253,0,0,0,0,0,0
342,21680,listing,,"Fresh To You Produce & Garden Center, LLC",4,0,1236794216,1445036668,0,0,0,0,0,0
343,14070,listing,,Fordyce Farm,4,1,1236794281,1367712727,0,0,0,0,0,0
345,11737,listing,,Salem Saturday Market,4,1,1236794345,1336347389,0,0,0,0,0,0
346,6851,listing,,Capitol Gift Shop,4,1,1236794411,1282880141,0,0,0,0,0,0
349,4254,listing,,Greenbaum's Quilted Forest,4,1,1236794673,1263505256,0,0,0,0,0,0
351,10826,listing,,Lancaster Mall,4,1,1236797784,1328505852,0,0,0,0,0,0
352,18217,listing,,Salem Center,4,1,1236797809,1403114333,0,0,0,0,0,0
355,1443,listing,,McNary Field - Salem Airport,4,1,1236803599,1239056311,0,0,0,0,0,0
360,13407,listing,,Cherriots (Salem-Keizer Transit),4,1,1236803839,1358480764,0,0,0,0,0,0
361,21712,listing,,Enterprise Rent-A-Car,4,1,1236803916,1445374552,0,0,0,0,0,0
363,619,listing,,Quest Tours & Treks Inc.,4,1,1236807542,1236807542,0,0,0,0,0,0
364,19392,listing,,AMTRAK,4,1,1236807618,1416259511,0,0,0,0,0,0
366,16854,listing,,Aldersgate Camps and Retreats,4,0,1236809236,1392335512,0,0,0,0,0,0
368,21613,listing,,Days Inn Black Bear Conference Center,4,0,1236809803,1445014117,0,0,0,0,0,0
369,7368,listing,,Chemeketa Eola,4,1,1236810138,1287529303,0,0,0,0,0,0
373,19445,listing,,Chemeketa Community College,4,1,1236877369,1417025246,0,0,0,0,0,0
374,2696,listing,,Comfort Inn and Suites,4,1,1236878103,1249597995,0,0,0,0,0,0
